time,EMA
2020-07-17,116.5041
2020-07-16,116.4569
2020-07-15,116.4300
2020-07-14,116.4218
2020-07-13,116.4596
2020-07-10,116.5250
2020-07-09,116.6080
2020-07-08,116.7433
2020-07-07,116.8430
2020-07-06,116.9473
2020-07-02,117.0035
2020-07-01,117.0703
2020-06-30,117.1607
2020-06-29,117.2101
2020-06-26,117.2801
2020-06-25,117.4006
2020-06-24,117.4883
2020-06-23,117.6278
2020-06-22,117.7127
2020-06-19,117.7676
2020-06-18,117.7966
2020-06-17,117.7938
2020-06-16,117.7912
2020-06-15,117.7693
2020-06-12,117.8141
2020-06-11,117.8549
2020-06-10,117.9713
2020-06-09,117.8625
2020-06-08,117.7131
2020-06-05,117.4862
2020-06-04,117.3255
2020-06-03,117.2225
2020-06-02,117.1143
2020-06-01,117.0624
2020-05-29,117.0308
2020-05-28,116.9983
2020-05-27,116.9723
2020-05-26,116.9264
2020-05-22,116.9521
2020-05-21,117.0429
2020-05-20,117.1217
2020-05-19,117.1586
2020-05-18,117.2172
2020-05-15,117.2526
2020-05-14,117.3766
2020-05-13,117.5037
2020-05-12,117.6567
2020-05-11,117.7260
2020-05-08,117.7519
2020-05-07,117.7706
2020-05-06,117.8236
2020-05-05,117.8717
2020-05-04,117.9319
2020-05-01,118.0104
2020-04-30,118.0870
2020-04-29,118.0951
2020-04-28,118.0442
2020-04-27,118.0381
2020-04-24,118.0385
2020-04-23,118.0616
2020-04-22,118.1490
2020-04-21,118.2768
2020-04-20,118.4554
2020-04-17,118.5685
2020-04-16,118.6894
2020-04-15,118.8959
2020-04-14,119.0505
2020-04-13,119.1094
2020-04-09,119.2218
2020-04-08,119.3298
2020-04-07,119.4818
2020-04-06,119.7192
2020-04-03,119.9637
2020-04-02,120.3737
2020-04-01,120.7227
2020-03-31,121.1708
2020-03-30,121.5183
2020-03-27,121.8350
2020-03-26,122.2508
2020-03-25,122.5830
2020-03-24,123.0552
2020-03-23,123.5440
2020-03-20,124.2454
2020-03-19,124.9492
2020-03-18,125.5736
2020-03-17,126.1497
2020-03-16,126.6789
2020-03-13,127.3620
2020-03-12,127.8910
2020-03-11,128.5280
2020-03-10,128.8908
2020-03-09,129.1322
2020-03-06,129.5103
2020-03-05,129.7082
2020-03-04,129.8756
2020-03-03,129.9579
2020-03-02,130.1427
2020-02-28,130.2289
2020-02-27,130.3955
2020-02-26,130.5094
2020-02-25,130.4999
2020-02-24,130.4530
2020-02-21,130.3159
2020-02-20,130.1114
2020-02-19,129.8766
2020-02-18,129.6439
2020-02-14,129.4020
2020-02-13,129.1628
2020-02-12,128.8503
2020-02-11,128.5126
2020-02-10,128.2028
2020-02-07,127.8687
